"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 1","Angie Homola","(Prefers Democratic Party)",44877,49.4,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 1","WRITE-IN"," ",196,0.22,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","Bill Bruch","(Prefers Republican Party)",45461,49.54,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","Dave Paul","(Prefers Democratic Party)",46199,50.35,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","WRITE-IN"," ",102,0.11,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Senator","Bob Hasegawa","(Prefers Democratic Party)",54606,96.47,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Senator","WRITE-IN"," ",2001,3.53,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 1","David Hackney","(Prefers Democratic Party)",36414,61.74,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 1","Zack Hudgins","(Prefers Democratic Party)",20974,35.56,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 1","WRITE-IN"," ",1589,2.69,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","Steve Bergquist","(Prefers Democratic Party)",47074,70.62,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","Sean Atchison","(Prefers Republican Party)",19456,29.19,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","WRITE-IN"," ",128,0.19,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Senator","Brad Hawkins","(Prefers Republican Party)",58051,95.75,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Senator","WRITE-IN"," ",2575,4.25,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 1","Keith Goehner","(Prefers Republican Party)",45817,60.37,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 1","Adrianne Moore","(Prefers Democratic Party)",29998,39.52,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 1","WRITE-IN"," ",84,0.11,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 2","Mike Steele","(Prefers Republican Party)",57281,96.2,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 2","WRITE-IN"," ",2265,3.8,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 1","Tom Dent","(Prefers Republican Party)",47701,71.33,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 1","Eduardo Castaneda-D&#237;az","(Prefers Democratic Party)",19104,28.57,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 1","WRITE-IN"," ",68,0.1,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)",55215,97.86,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 2","WRITE-IN"," ",1210,2.14,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","Curtis P. King","(Prefers Republican Party)",51384,95.79,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","WRITE-IN"," ",2256,4.21,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","Chris Corry","(Prefers Republican Party)",39519,59.61,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","Tracy Rushing","(Prefers Democratic Party)",26721,40.3,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","WRITE-IN"," ",58,0.09,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","Gina Mosbrucker","(Prefers Republican Party)",39285,59.69,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","Devin Kuh","(Prefers Democratic Party)",26435,40.16,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","WRITE-IN"," ",97,0.15,"Legislative"
"LEGISLATIVE DISTRICT 15 - Representative, Position 1","Bruce Chandler","(Prefers Republican Party)",26784,57.98,"Legislative"
"LEGISLATIVE DISTRICT 15 - Representative, Position 1","Jack McEntire","(Prefers Democratic Party)",19376,41.95,"Legislative"
"LEGISLATIVE DISTRICT 15 - Representative, Position 1","WRITE-IN"," ",33,0.07,"Legislative"
"LEGISLATIVE DISTRICT 15 - Representative, Position 2","Jeremie Dufault","(Prefers Republican Party)",27313,59.1,"Legislative"
"LEGISLATIVE DISTRICT 15 - Representative, Position 2","AJ Cooper","(Prefers Democratic Party)",18873,40.83,"Legislative"
"LEGISLATIVE DISTRICT 15 - Representative, Position 2","WRITE-IN"," ",32,0.07,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","Danielle Garbe Reser","(Prefers Democratic Party)",24889,40.93,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","Perry Dozier","(Prefers Republican Party)",35859,58.97,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","WRITE-IN"," ",59,0.1,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)",38570,63.58,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","Frances Chvatal","(Prefers Democratic Party)",22056,36.36,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","WRITE-IN"," ",36,0.06,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)",41142,68.15,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 2","Carly Coburn","(Prefers Democratic Party)",19163,31.74,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 2","WRITE-IN"," ",64,0.11,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","Lynda Wilson","(Prefers Republican Party)",44671,54.49,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","Daniel Smith","(Prefers Democratic Party)",37196,45.37,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","WRITE-IN"," ",115,0.14,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 1","Vicki Kraft","(Prefers Republican Party)",41908,51.02,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 1","Tanisha L. Harris","(Prefers Democratic Party)",40137,48.86,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 1","WRITE-IN"," ",100,0.12,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","Paul Harris","(Prefers Republican Party)",48392,67.98,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","Bryan White","(Prefers Republican Party)",20020,28.12,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","WRITE-IN"," ",2773,3.9,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","Rick Bell","(Prefers Democratic Party)",38305,40.49,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","Ann Rivers","(Prefers Republican Party)",53269,56.3,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","WRITE-IN"," ",3041,3.21,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","Brandon Vick","(Prefers Republican Party)",57566,61.15,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","Kassandra Bessert","(Prefers Democratic Party)",36414,38.68,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","WRITE-IN"," ",165,0.18,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","Larry Hoff","(Prefers Republican Party)",53773,57,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","Donna L. Sinclair","(Prefers Democratic Party)",40457,42.88,"Legislative"
